文件名,音频时长(秒),原始整体评分,原始信号质量,原始背景质量,整体评分(MOS),信号质量(MOS),背景质量(MOS),P.808标准MOS,预测MOS总分,噪声程度,断续程度,音色失真,音量适宜性,SSL模型MOS
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\1.wav,18.624,3.9331393,4.3625145,4.1676,4.2824752159737,4.649990382305465,4.354450192678714,3.984201,3.9942782,3.3004503,4.3223724,3.8373663,4.273696,2.6136677
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\10.wav,36.036,2.491883,3.611321,2.3249416,2.778172943008997,3.9520067897590936,2.3567506442370147,3.4754739,3.37309,1.8784853,4.3946705,3.7428675,3.8348582,2.0991359
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\11.wav,50.650625,2.9694805,4.074264,2.733963,3.2962448199859105,4.393754029186499,2.8153113114048707,3.8220608,3.1271095,2.3478093,4.2936416,3.9291985,3.3826687,2.3143408
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\12.wav,50.650625,2.9694805,4.074264,2.733963,3.2962448199859105,4.393754029186499,2.8153113114048707,3.8220608,3.1271095,2.3478093,4.2936416,3.9291985,3.3826687,2.3143408
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\2.wav,21.056,3.9168658,4.357714,4.1225343,4.269262366951195,4.646022270927439,4.32646615636179,3.9977129,4.0098467,3.3121474,4.224097,3.8825638,4.244907,2.8616219
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\3.wav,16.96,3.6821556,4.33557,3.7272666,4.037008978136739,4.627019678109964,3.922423531356543,3.9030817,4.0922136,2.9817607,4.3565927,3.9078848,4.31484,2.6803877
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\4.wav,17.877375,3.4602044,4.541042,3.16091,3.812368185905492,4.799059472748245,3.3006183564578078,3.5294213,3.0369208,2.2682045,3.5527585,3.2371771,3.676337,2.4723654
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\5.wav,17.856,3.7853858,4.3225913,3.8461444,4.14007336355036,4.615869348528018,4.052222690378595,3.8662407,3.4267933,2.5849698,4.0975785,3.4783967,3.8450024,2.7739966
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\6.wav,42.304,3.7060306,4.0724607,4.1987505,4.0604286468692825,4.392778509641585,4.394365509264559,3.6466546,3.9882934,2.9687707,4.358737,4.1911044,3.9026573,2.0552912
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\7.wav,19.6266875,4.272118,4.401117,4.663629,4.608621890880035,4.683049431811796,4.78303747986341,4.0451694,4.3670964,4.220986,4.407384,4.0204644,4.427776,2.914431
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\8.wav,19.0506875,4.112721,4.3215,4.5643973,4.458288416021815,4.614943218826002,4.7098551616139295,3.9316204,4.3761997,4.275803,4.431404,4.068249,4.4221306,2.8426414
D:/WorkShop/Github/AudioProcesser/Audio/AudioSample-48000hz\9.wav,17.0666875,4.061098,4.290372,4.5694795,4.408896346020304,4.5879594490508895,4.713735093971343,4.1234403,4.6002855,4.371908,4.5749893,4.218428,4.523254,2.9771385
